birthYear,birthDate,deathYear,deathCause_label
1718-01-01T00:00:00+02:00,1718-11-28,1763-01-01T00:00:00+02:00,{Cancer|Suicide}
1734-01-01T00:00:00+02:00,1734-02-18,1793-01-01T00:00:00+02:00,Suicide
1742-01-01T00:00:00+02:00,1742-12-06,1806-01-01T00:00:00+02:00,Suicide
1750-01-01T00:00:00+02:00,1750-01-01T00:00:00+02:00,1804-01-01T00:00:00+02:00,Pneumonia
1752-01-01T00:00:00+02:00,1752-08-21,1794-01-01T00:00:00+02:00,Suicide
1754-01-01T00:00:00+02:00,1754-06-18,1817-01-01T00:00:00+02:00,Breast cancer
1755-01-01T00:00:00+02:00,1755-04-11,1824-01-01T00:00:00+02:00,Stroke
1762-01-01T00:00:00+02:00,{1762-04-21|1762-08-21},1841-01-01T00:00:00+02:00,Pneumonia
1785-01-01T00:00:00+02:00,1785-10-02,1842-01-01T00:00:00+02:00,Pneumonia
1792-01-01T00:00:00+02:00,1792-05-17,1860-01-01T00:00:00+02:00,Breast cancer
1793-01-01T00:00:00+02:00,1793-04-02,1860-01-01T00:00:00+02:00,Suicide
1794-01-01T00:00:00+02:00,1794-10-06,1863-01-01T00:00:00+02:00,{Pneumonia|Typhoid fever}
1796-01-01T00:00:00+02:00,1796-05-04,1859-01-01T00:00:00+02:00,Stroke
1798-01-01T00:00:00+02:00,1798-10-11,1875-01-01T00:00:00+02:00,Pneumonia
1805-01-01T00:00:00+02:00,1805-03-26,1973-01-01T00:00:00+02:00,Pneumonia
1805-01-01T00:00:00+02:00,1805-01-01T00:00:00+02:00,1881-01-01T00:00:00+02:00,Pneumonia
1805-01-01T00:00:00+02:00,1805-09-04,1883-01-01T00:00:00+02:00,Myocardial infarction
1807-01-01T00:00:00+02:00,1807-11-05,1888-01-01T00:00:00+02:00,Pneumonia
1807-01-01T00:00:00+02:00,1807-01-01T00:00:00+02:00,1883-01-01T00:00:00+02:00,Pneumonia
1807-01-01T00:00:00+02:00,{1807-01-01T00:00:00+02:00|1807-02-15},1855-01-01T00:00:00+02:00,Stroke
1807-01-01T00:00:00+02:00,1807-09-30,1873-01-01T00:00:00+02:00,Myocardial infarction
1807-01-01T00:00:00+02:00,1807-12-16,1875-01-01T00:00:00+02:00,Myocardial infarction
1809-01-01T00:00:00+02:00,1809-09-05,1866-01-01T00:00:00+02:00,Myocardial infarction
1809-01-01T00:00:00+02:00,1809-08-22,1867-01-01T00:00:00+02:00,Pneumonia
1815-01-01T00:00:00+02:00,1815-01-27,1891-01-01T00:00:00+02:00,Stroke
1816-01-01T00:00:00+02:00,1816-11-06,1901-01-01T00:00:00+02:00,Stroke
1816-01-01T00:00:00+02:00,1816-05-16,1877-01-01T00:00:00+02:00,Pneumonia
{1815-01-01T00:00:00+02:00|1816-01-01T00:00:00+02:00},1816-01-01T00:00:00+02:00,1866-01-01T00:00:00+02:00,Myocardial infarction
1817-01-01T00:00:00+02:00,1817-02-13,1875-01-01T00:00:00+02:00,Myocardial infarction
1818-01-01T00:00:00+02:00,1818-09-11,1891-01-01T00:00:00+02:00,Bronchopneumonia
1819-01-01T00:00:00+02:00,1819-12-10,1893-01-01T00:00:00+02:00,Pneumonia
1819-01-01T00:00:00+02:00,1819-09-13,1896-01-01T00:00:00+02:00,Stroke
{1820-01-01T00:00:00+02:00|1822-01-01T00:00:00+02:00},1820-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,Pneumonia
1821-01-01T00:00:00+02:00,1821-08-26,1898-01-01T00:00:00+02:00,Myocardial infarction
1821-01-01T00:00:00+02:00,1821-11-30,1880-01-01T00:00:00+02:00,Stomach cancer
1823-01-01T00:00:00+02:00,1823-05-15,1892-01-01T00:00:00+02:00,Pneumonia
1824-01-01T00:00:00+02:00,1824-11-03,1859-01-01T00:00:00+02:00,Pneumonia
1825-01-01T00:00:00+02:00,1825-09-25,1910-01-01T00:00:00+02:00,Myocardial infarction
1826-01-01T00:00:00+02:00,1826-12-22,1897-01-01T00:00:00+02:00,Stroke
1830-01-01T00:00:00+02:00,1830-05-19,1890-01-01T00:00:00+02:00,{Pneumonia|Fatigue (medical)}
1831-01-01T00:00:00+02:00,1831-02-23,1870-01-01T00:00:00+02:00,Pneumonia
1831-01-01T00:00:00+02:00,1831-05-01,1880-01-01T00:00:00+02:00,Breast cancer
1831-01-01T00:00:00+02:00,1831-01-02,1870-01-01T00:00:00+02:00,Suicide
1832-01-01T00:00:00+02:00,1832-01-01T00:00:00+02:00,1898-01-01T00:00:00+02:00,Myocardial infarction
1834-01-01T00:00:00+02:00,1834-01-01T00:00:00+02:00,1907-01-01T00:00:00+02:00,Pneumonia
1834-01-01T00:00:00+02:00,1834-11-21,1916-01-01T00:00:00+02:00,Stroke
1835-01-01T00:00:00+02:00,1835-11-25,1919-01-01T00:00:00+02:00,Bronchopneumonia
1836-01-01T00:00:00+02:00,1836-01-01T00:00:00+02:00,1895-01-01T00:00:00+02:00,Stroke
1836-01-01T00:00:00+02:00,1836-02-21,1889-01-01T00:00:00+02:00,Stroke
1836-01-01T00:00:00+02:00,1836-01-01T00:00:00+02:00,1905-01-01T00:00:00+02:00,Myocardial infarction
1836-01-01T00:00:00+02:00,1836-06-10,1900-01-01T00:00:00+02:00,Myocardial infarction
1837-01-01T00:00:00+02:00,1837-01-01T00:00:00+02:00,1903-01-01T00:00:00+02:00,Myocardial infarction
1838-01-01T00:00:00+02:00,1838-01-04,1883-01-01T00:00:00+02:00,Stroke
1838-01-01T00:00:00+02:00,1838-02-06,1905-01-01T00:00:00+02:00,Stroke
1838-01-01T00:00:00+02:00,1838-07-08,1898-01-01T00:00:00+02:00,Cancer
1839-01-01T00:00:00+02:00,1839-09-09,1915-01-01T00:00:00+02:00,Myocardial infarction
1841-01-01T00:00:00+02:00,1841-10-11,1909-01-01T00:00:00+02:00,Pneumonia
1841-01-01T00:00:00+02:00,1841-11-18,1888-01-01T00:00:00+02:00,Myocardial infarction
1842-01-01T00:00:00+02:00,1842-01-01T00:00:00+02:00,1920-01-01T00:00:00+02:00,Myocardial infarction
1843-01-01T00:00:00+02:00,1843-08-15,1912-01-01T00:00:00+02:00,Pneumonia
1843-01-01T00:00:00+02:00,1843-10-02,1886-01-01T00:00:00+02:00,Pneumonia
1843-01-01T00:00:00+02:00,1843-09-13,1885-01-01T00:00:00+02:00,Suicide
1843-01-01T00:00:00+02:00,1843-03-31,1889-01-01T00:00:00+02:00,Suicide
1843-01-01T00:00:00+02:00,1843-06-19,1929-01-01T00:00:00+02:00,Pneumonia
1843-01-01T00:00:00+02:00,1843-01-01T00:00:00+02:00,1880-01-01T00:00:00+02:00,Pneumonia
1844-01-01T00:00:00+02:00,1844-10-11,1919-01-01T00:00:00+02:00,Pneumonia
1844-01-01T00:00:00+02:00,1844-01-01T00:00:00+02:00,1899-01-01T00:00:00+02:00,Pneumonia
1844-01-01T00:00:00+02:00,1844-01-01T00:00:00+02:00,1929-01-01T00:00:00+02:00,Pneumonia
1845-01-01T00:00:00+02:00,1845-11-12,1922-01-01T00:00:00+02:00,Cancer
1846-01-01T00:00:00+02:00,1846-09-14,1922-01-01T00:00:00+02:00,Stroke
1847-01-01T00:00:00+02:00,1847-10-10,1902-01-01T00:00:00+02:00,Myocardial infarction
1847-01-01T00:00:00+02:00,1847-02-04,1929-01-01T00:00:00+02:00,Suicide
1848-01-01T00:00:00+02:00,1848-01-26,1899-01-01T00:00:00+02:00,Pneumonia
1848-01-01T00:00:00+02:00,1848-09-08,1897-01-01T00:00:00+02:00,Suicide
1848-01-01T00:00:00+02:00,1848-01-01T00:00:00+02:00,1930-01-01T00:00:00+02:00,Pneumonia
1849-01-01T00:00:00+02:00,1849-07-23,1919-01-01T00:00:00+02:00,Cancer
1849-01-01T00:00:00+02:00,1849-05-27,1938-01-01T00:00:00+02:00,Myocardial infarction
1850-01-01T00:00:00+02:00,1850-06-04,1879-01-01T00:00:00+02:00,Pneumonia
{1850-01-01T00:00:00+02:00|1851-01-01T00:00:00+02:00},{1850-01-01T00:00:00+02:00|1851-07-27},1917-01-01T00:00:00+02:00,Pneumonia
1851-01-01T00:00:00+02:00,1851-11-16,1907-01-01T00:00:00+02:00,Myocardial infarction
1852-01-01T00:00:00+02:00,1852-08-12,1890-01-01T00:00:00+02:00,Pneumonia
1852-01-01T00:00:00+02:00,1852-10-09,1919-01-01T00:00:00+02:00,Suicide
1852-01-01T00:00:00+02:00,1852-06-28,1938-01-01T00:00:00+02:00,Myocardial infarction
1853-01-01T00:00:00+02:00,1853-09-11,1933-01-01T00:00:00+02:00,Stroke
1854-01-01T00:00:00+02:00,1854-02-16,1934-01-01T00:00:00+02:00,{Myocardial infarction|Diabetes mellitus}
1854-01-01T00:00:00+02:00,1854-10-18,1930-01-01T00:00:00+02:00,Myocardial infarction
1855-01-01T00:00:00+02:00,1855-07-12,1908-01-01T00:00:00+02:00,Pneumonia
1856-01-01T00:00:00+02:00,1856-08-12,1917-01-01T00:00:00+02:00,Myocardial infarction
1856-01-01T00:00:00+02:00,1856-02-16,1920-01-01T00:00:00+02:00,Pneumonia
1856-01-01T00:00:00+02:00,1856-01-18,1936-01-01T00:00:00+02:00,Pneumonia
1857-01-01T00:00:00+02:00,1857-04-10,1930-01-01T00:00:00+02:00,Head and neck cancer
1857-01-01T00:00:00+02:00,1857-03-06,1938-01-01T00:00:00+02:00,Cancer
1857-01-01T00:00:00+02:00,1857-01-05,1924-01-01T00:00:00+02:00,Pneumonia
1857-01-01T00:00:00+02:00,1857-08-29,1927-01-01T00:00:00+02:00,Cancer
1857-01-01T00:00:00+02:00,1857-06-03,1911-01-01T00:00:00+02:00,Stroke
1858-01-01T00:00:00+02:00,1858-01-21,1940-01-01T00:00:00+02:00,Myocardial infarction
1858-01-01T00:00:00+02:00,1858-03-23,1941-01-01T00:00:00+02:00,Pneumonia
1858-01-01T00:00:00+02:00,1858-01-01T00:00:00+02:00,1907-01-01T00:00:00+02:00,Suicide
{1858-01-01T00:00:00+02:00|1864-01-01T00:00:00+02:00},{1858-01-11|1864-01-11},1947-01-01T00:00:00+02:00,Bronchopneumonia
1858-01-01T00:00:00+02:00,1858-01-28,1934-01-01T00:00:00+02:00,Lobar pneumonia
1858-01-01T00:00:00+02:00,1858-03-30,1935-01-01T00:00:00+02:00,Myocardial infarction
1859-01-01T00:00:00+02:00,1859-03-15,1932-01-01T00:00:00+02:00,Myocardial infarction
1859-01-01T00:00:00+02:00,1859-10-23,1892-01-01T00:00:00+02:00,Pneumonia
1860-01-01T00:00:00+02:00,1860-01-09,1951-01-01T00:00:00+02:00,Myocardial infarction
1860-01-01T00:00:00+02:00,1860-08-12,1907-01-01T00:00:00+02:00,Breast cancer
1860-01-01T00:00:00+02:00,1860-01-24,1938-01-01T00:00:00+02:00,Myocardial infarction
1860-01-01T00:00:00+02:00,1860-07-19,1927-01-01T00:00:00+02:00,Pneumonia
1860-01-01T00:00:00+02:00,1860-01-17,1952-01-01T00:00:00+02:00,Myocardial infarction
1861-01-01T00:00:00+02:00,1861-08-12,1931-01-01T00:00:00+02:00,Myocardial infarction
1861-01-01T00:00:00+02:00,1861-04-06,1932-01-01T00:00:00+02:00,Pneumonia
1862-01-01T00:00:00+02:00,1862-08-10,1906-01-01T00:00:00+02:00,Myocardial infarction
1862-01-01T00:00:00+02:00,1862-06-02,1918-01-01T00:00:00+02:00,Suicide
1862-01-01T00:00:00+02:00,1862-09-20,1917-01-01T00:00:00+02:00,Myocardial infarction
1862-01-01T00:00:00+02:00,1862-09-01,1931-01-01T00:00:00+02:00,Pneumonia
1863-01-01T00:00:00+02:00,1863-07-12,1906-01-01T00:00:00+02:00,Suicide
1863-01-01T00:00:00+02:00,1863-08-02,1937-01-01T00:00:00+02:00,Stroke
1863-01-01T00:00:00+02:00,1863-01-01T00:00:00+02:00,1930-01-01T00:00:00+02:00,Bronchopneumonia
1864-01-01T00:00:00+02:00,1864-09-09,1887-01-01T00:00:00+02:00,Suicide
1864-01-01T00:00:00+02:00,1864-05-28,1930-01-01T00:00:00+02:00,Suicide
1864-01-01T00:00:00+02:00,1864-05-17,1944-01-01T00:00:00+02:00,Myocardial infarction
1864-01-01T00:00:00+02:00,1864-10-25,1920-01-01T00:00:00+02:00,{Pneumonia|1918 flu pandemic}
1865-01-01T00:00:00+02:00,1865-04-08,1932-01-01T00:00:00+02:00,Stroke
1865-01-01T00:00:00+02:00,{1865-01-01T00:00:00+02:00|1865-06-29},1986-01-01T00:00:00+02:00,Pneumonia
1865-01-01T00:00:00+02:00,1865-12-29,1940-01-01T00:00:00+02:00,Stroke
1865-01-01T00:00:00+02:00,1865-04-05,1931-01-01T00:00:00+02:00,Cancer
1866-01-01T00:00:00+02:00,1866-02-12,1940-01-01T00:00:00+02:00,Myocardial infarction
1866-01-01T00:00:00+02:00,1866-02-26,1933-01-01T00:00:00+02:00,Myocardial infarction
1867-01-01T00:00:00+02:00,1867-09-07,{1867-01-01T00:00:00+02:00|1943-01-01T00:00:00+02:00},Stroke
1867-01-01T00:00:00+02:00,1867-12-29,1931-01-01T00:00:00+02:00,Myocardial infarction
1867-01-01T00:00:00+02:00,1867-07-13,1952-01-01T00:00:00+02:00,Myocardial infarction
1868-01-01T00:00:00+02:00,1868-04-20,1936-01-01T00:00:00+02:00,Myocardial infarction
1868-01-01T00:00:00+02:00,1868-04-26,1915-01-01T00:00:00+02:00,Suicide
1868-01-01T00:00:00+02:00,1868-05-17,1920-01-01T00:00:00+02:00,{Pneumonia|1918 flu pandemic|Cirrhosis}
1868-01-01T00:00:00+02:00,1868-03-18,1940-01-01T00:00:00+02:00,Suicide
1869-01-01T00:00:00+02:00,1869-01-01T00:00:00+02:00,1898-01-01T00:00:00+02:00,{Abscess|Alcoholism|Pneumonia}
1869-01-01T00:00:00+02:00,1869-07-20,1936-01-01T00:00:00+02:00,Pneumonia
1870-01-01T00:00:00+02:00,1870-11-12,1952-01-01T00:00:00+02:00,Myocardial infarction
1870-01-01T00:00:00+02:00,1870-11-21,1936-01-01T00:00:00+02:00,Suicide
1870-01-01T00:00:00+02:00,1870-05-21,1944-01-01T00:00:00+02:00,Myocardial infarction
1870-01-01T00:00:00+02:00,1870-01-20,1925-01-01T00:00:00+02:00,Suicide
1870-01-01T00:00:00+02:00,1870-04-17,1934-01-01T00:00:00+02:00,Myocardial infarction
1870-01-01T00:00:00+02:00,1870-06-21,1915-01-01T00:00:00+02:00,Suicide
1870-01-01T00:00:00+02:00,{1870-05-21|1870-10-20},1957-01-01T00:00:00+02:00,Myocardial infarction
1871-01-01T00:00:00+02:00,1871-04-20,1922-01-01T00:00:00+02:00,Pneumonia
1871-01-01T00:00:00+02:00,1871-02-12,1947-01-01T00:00:00+02:00,Myocardial infarction
1871-01-01T00:00:00+02:00,1871-08-07,1934-01-01T00:00:00+02:00,Stroke
1871-01-01T00:00:00+02:00,1871-05-22,1940-01-01T00:00:00+02:00,Pneumonia
1872-01-01T00:00:00+02:00,{1872-11-07|1872-11-08},1945-01-01T00:00:00+02:00,Cancer
1872-01-01T00:00:00+02:00,1872-04-29,1930-01-01T00:00:00+02:00,Pneumonia
1872-01-01T00:00:00+02:00,1872-01-17,1959-01-01T00:00:00+02:00,Pneumonia
1872-01-01T00:00:00+02:00,1872-02-10,1951-01-01T00:00:00+02:00,Myocardial infarction
1872-01-01T00:00:00+02:00,1872-05-13,1902-01-01T00:00:00+02:00,Pneumonia
1872-01-01T00:00:00+02:00,{1872-10-17|1872-10-18},{1936-01-01T00:00:00+02:00|1937-01-01T00:00:00+02:00},Stroke
1872-01-01T00:00:00+02:00,1872-06-09,1950-01-01T00:00:00+02:00,Stroke
1872-01-01T00:00:00+02:00,1872-01-01T00:00:00+02:00,1931-01-01T00:00:00+02:00,Stroke
1873-01-01T00:00:00+02:00,1873-05-21,1941-01-01T00:00:00+02:00,Suicide
1873-01-01T00:00:00+02:00,1873-12-06,1944-01-01T00:00:00+02:00,Bronchopneumonia
1873-01-01T00:00:00+02:00,1873-03-04,1957-01-01T00:00:00+02:00,Myocardial infarction
1873-01-01T00:00:00+02:00,1873-06-10,1937-01-01T00:00:00+02:00,Pneumonia
1874-01-01T00:00:00+02:00,1874-03-28,1949-01-01T00:00:00+02:00,Myocardial infarction
1874-01-01T00:00:00+02:00,1874-10-05,1961-01-01T00:00:00+02:00,Myocardial infarction
1874-01-01T00:00:00+02:00,1874-05-09,1937-01-01T00:00:00+02:00,Myocardial infarction
1874-01-01T00:00:00+02:00,1874-05-12,1929-01-01T00:00:00+02:00,Suicide
1875-01-01T00:00:00+02:00,1875-10-08,1934-01-01T00:00:00+02:00,Myocardial infarction
1875-01-01T00:00:00+02:00,1875-10-26,1958-01-01T00:00:00+02:00,Myocardial infarction
1875-01-01T00:00:00+02:00,1875-07-26,1965-01-01T00:00:00+02:00,Myocardial infarction
{1875-01-01T00:00:00+02:00|1877-01-01T00:00:00+02:00},{1875-09-26|1877-09-26},1959-01-01T00:00:00+02:00,Pneumonia
1875-01-01T00:00:00+02:00,1875-11-24,1944-01-01T00:00:00+02:00,Pancreatic cancer
1875-01-01T00:00:00+02:00,1875-04-04,1948-01-01T00:00:00+02:00,Pneumonia
1875-01-01T00:00:00+02:00,1875-07-15,1960-01-01T00:00:00+02:00,Stroke
1876-01-01T00:00:00+02:00,1876-02-26,1895-01-01T00:00:00+02:00,{Pneumonia|Meningitis}
1876-01-01T00:00:00+02:00,{1876-01-01T00:00:00+02:00|1876-10-14},1951-01-01T00:00:00+02:00,Myocardial infarction
1876-01-01T00:00:00+02:00,1876-01-22,1943-01-01T00:00:00+02:00,Myocardial infarction
1877-01-01T00:00:00+02:00,1877-09-18,1952-01-01T00:00:00+02:00,Myocardial infarction
1877-01-01T00:00:00+02:00,1877-02-08,1945-01-01T00:00:00+02:00,Suicide
1877-01-01T00:00:00+02:00,1877-11-22,1930-01-01T00:00:00+02:00,Suicide
1878-01-01T00:00:00+02:00,1878-07-17,1947-01-01T00:00:00+02:00,Pneumonia
1878-01-01T00:00:00+02:00,1878-03-13,1945-01-01T00:00:00+02:00,Suicide
1878-01-01T00:00:00+02:00,1878-09-23,1950-01-01T00:00:00+02:00,Stroke
1878-01-01T00:00:00+02:00,1878-03-13,1955-01-01T00:00:00+02:00,Myocardial infarction
1878-01-01T00:00:00+02:00,1878-04-28,1954-01-01T00:00:00+02:00,Myocardial infarction
1879-01-01T00:00:00+02:00,1879-10-15,1967-01-01T00:00:00+02:00,Myocardial infarction
1879-01-01T00:00:00+02:00,1879-03-12,1919-01-01T00:00:00+02:00,Suicide
1879-01-01T00:00:00+02:00,1879-09-06,1936-01-01T00:00:00+02:00,Myocardial infarction
1879-01-01T00:00:00+02:00,1879-08-26,1945-01-01T00:00:00+02:00,Suicide
1879-01-01T00:00:00+02:00,1879-05-31,1960-01-01T00:00:00+02:00,Myocardial infarction
1880-01-01T00:00:00+02:00,1880-03-02,1932-01-01T00:00:00+02:00,Suicide
1880-01-01T00:00:00+02:00,1880-10-15,1958-01-01T00:00:00+02:00,Breast cancer
{1880-01-01T00:00:00+02:00|1881-01-01T00:00:00+02:00},{1880-01-01T00:00:00+02:00|1881-12-14},1942-01-01T00:00:00+02:00,Stroke
1880-01-01T00:00:00+02:00,1880-08-07,1962-01-01T00:00:00+02:00,Stroke
1881-01-01T00:00:00+02:00,1881-10-25,1971-01-01T00:00:00+02:00,Stroke
1881-01-01T00:00:00+02:00,{1881-07-21|1881-07-27},1945-01-01T00:00:00+02:00,Suicide
1881-01-01T00:00:00+02:00,1881-11-26,1934-01-01T00:00:00+02:00,Suicide
1881-01-01T00:00:00+02:00,1881-06-25,1962-01-01T00:00:00+02:00,Myocardial infarction
1882-01-01T00:00:00+02:00,1882-05-10,1958-01-01T00:00:00+02:00,Myocardial infarction
1882-01-01T00:00:00+02:00,1882-04-21,1961-01-01T00:00:00+02:00,Suicide
1882-01-01T00:00:00+02:00,1882-02-28,1923-01-01T00:00:00+02:00,Suicide
1882-01-01T00:00:00+02:00,1882-02-15,1942-01-01T00:00:00+02:00,{Pneumonia|Cirrhosis}
1882-01-01T00:00:00+02:00,1882-10-20,1956-01-01T00:00:00+02:00,Myocardial infarction
1882-01-01T00:00:00+02:00,1882-12-18,1956-01-01T00:00:00+02:00,Cancer
1882-01-01T00:00:00+02:00,1882-09-03,1955-01-01T00:00:00+02:00,Myocardial infarction
1882-01-01T00:00:00+02:00,1882-01-17,1946-01-01T00:00:00+02:00,Myocardial infarction
1883-01-01T00:00:00+02:00,1883-05-23,1939-01-01T00:00:00+02:00,Myocardial infarction
1883-01-01T00:00:00+02:00,1883-11-15,1967-01-01T00:00:00+02:00,Liver cancer
1883-01-01T00:00:00+02:00,1883-02-22,1940-01-01T00:00:00+02:00,Pneumonia
1883-01-01T00:00:00+02:00,1883-07-28,1949-01-01T00:00:00+02:00,Stroke
1883-01-01T00:00:00+02:00,1883-01-01,1943-01-01T00:00:00+02:00,Suicide
